institution_code,institution_name,city,state,latitude,longitude,zip_code
1140,Methodist Hosp-Sacramento,Sacramento,CA,38.464241,-121.415597,95823
1141,Mercy Hosp & Med Ctr,Chicago,IL,41.881953,-87.632362,60602
1143,Fam Med SW Washington,Vancouver,WA,45.67876,-122.61438,98665
1144,Mt Sinai Hosp Med Ctr,Chicago,IL,41.881953,-87.632362,60602
1147,Rush University Med Ctr,Chicago,IL,41.881953,-87.632362,60602
1150,U Illinois COM,Chicago,IL,41.881953,-87.632362,60602
1159,Swedish Covenant Hosp,Chicago,IL,41.881953,-87.632362,60602
1160,Univ of Chicago Med Ctr,Chicago,IL,41.881953,-87.632362,60602
1167,Methodist Hospital-Houston,Houston,TX,29.871477,-95.536495,77040
1168,Presence Saint Francis Hospital,Evanston,IL,42.046792,-87.681841,60201
1170,Loyola Univ Med Ctr,Maywood,IL,41.888038,-87.839234,60153
1172,VA Medical Ctr-Boise,Boise,ID,43.615045,-116.202327,83702
1173,West Suburban Med Ctr,Oak Park,IL,41.888425,-87.787957,60302
1175,U Illinois COMÐPeoria OSF,Peoria,IL,40.691812,-89.589548,61602
1176,Advocate Lutheran Gen Hosp,Park Ridge,IL,42.009798,-87.830647,60068
1177,Rapid City Reg Hosp,Rapid City,SD,44.788047,-85.277661,49676
1178,Ft Wayne Med Ed Prog,Fort Wayne,IN,41.17822,-85.13722,46825
1180,Harvard Med School / Mass Eye and Ear,Boston,MA,42.35888,-71.056804,02109
1183,City of Hope,Duarte,CA,33.65193,-117.7324,92618
1184,Griffin Memorial Hospital,Norman,OK,35.221527,-97.441888,73069
1187,Indiana University SOM,Indianapolis,IN,39.768602,-86.16166,46204
1189,St Vincent Hosp Ctr,Indianapolis,IN,39.912167,-86.183876,46240
1192,Indiana Univ Health Ball Memorial Hosp,Muncie,IN,40.193697,-85.387658,47305
1193,Memorial Hospital,South Bend,IN,41.676373,-86.251986,46601
1194,St Josephs Reg Med Ctr,Mishawaka,IN,38.066227,-87.64701,47720
1196,Cedar Rapids Med Ed Fdn,Cedar Rapids,IA,41.977647,-91.665826,52401
1199,Broadlawns Med Ctr,Des Moines,IA,41.584997,-93.624273,50309
1201,Central Iowa Health System,Des Moines,IA,41.584997,-93.624273,50309
1203,U Iowa Hosps and Clinics,Iowa City,IA,41.659076,-91.533128,52240
1208,U Kansas SOM-Kansas City,Kansas City,KS,39.113629,-94.626816,66101
1213,St Elizabeth Med Ctr,Edgewood,KY,39.018345,-84.574697,41017
1214,Memorial Medical Ctr,Las Cruces,NM,32.310449,-106.778821,88001
