specialty,outcome,coef,se,tstat,pvalue,avg_treat,pretrend_p,treat_p,n_programs,n_states
Path,matched_per_,.0043894343616557,.0046476671,.94443822,,.0047024791,.000085857253,.099984571,145,43
Path,quota_per_10,.0014464564105765,.0045875297,.31530184,,.0027982914,.26776803,.55514538,145,43
Path,unmatched_pe,-.0029429587082177,.0031180764,-.94383788,,-.0019041542,.000026642612,.21874501,145,43
Peds,quota,-.1842422064801212,.18638732,-.98849112,,-.47146261,.18257995,.38520059,212,45
Peds,matched,-.2478681485517882,.19237268,-1.288479,,-.52536732,.67200363,.3445673,212,45
Peds,unmatched,.0636260551109444,.086645976,.73432213,,.053904645,.002380043,.31893364,212,45
Peds,matched_per_,-.0030222140926242,.0038401645,-.78700119,,-.0059695398,.31693831,.27458706,212,45
Peds,quota_per_10,-.0021563143025105,.003729515,-.57817554,,-.0052777878,.47202933,.40081701,212,45
Peds,unmatched_pe,.0008659089608045,.0013464751,.64309317,,.00069177285,.10573006,.6288839,212,45
PrevMed,quota,-.4187500104308128,.49692434,-.84268361,,.16319445,0,7.5532419e-31,8,8
PrevMed,matched,-.5083333272486925,.29769659,-1.7075551,,-.36388889,.052559737,7.4614418e-06,8,8
PrevMed,unmatched,.08958332054317,.40912947,.21896081,,.52708334,1.3107520e-27,.018073726,8,8
PrevMed,matched_per_,-.0027800968091469,.0018027712,-1.542124,,.0023879625,.31202564,6.7113277e-08,8,8
PrevMed,quota_per_10,.0007056032045512,.0049724951,.14190124,,.0079640169,0,8.4259764e-06,8,8
PrevMed,unmatched_pe,.0034856647253036,.0038361789,.90862936,,.0055760145,0,.0048471424,8,8
Psych,quota,.0351694985874929,.15021144,.23413329,,-.41824576,.093646444,.0062275222,244,47
Psych,matched,-.1035393655765802,.14515848,-.71328497,,-.32570595,.13555229,.091961905,244,47
Psych,unmatched,.1387088992159988,.067591779,2.0521562,,-.092539854,.94144469,.055669568,244,47
Psych,matched_per_,.0008553989474933,.0064994623,.13161072,,-.0013301308,.27954105,.89288306,244,47
Psych,quota_per_10,.0015463705894945,.0056183278,.27523682,,-.0028545118,.050845396,.65512264,244,47
Psych,unmatched_pe,.0006909707875593,.0015136324,.45649844,,-.0015243805,.84536046,.081032753,244,47
Rad,quota,-.0241496030357666,.055985663,-.43135333,,-.18165872,.0034316911,.085572645,199,44
Rad,matched,.0253145471215248,.082242385,.30780414,,-.15180093,.24943846,.10181911,199,44
Rad,unmatched,-.0494641815089884,.076768823,-.64432645,,-.029857883,.41248208,.71104956,199,44
Rad,matched_per_,.0020120311988876,.0018166493,1.1075507,,.00030711433,.89179015,.77286053,199,44
Rad,quota_per_10,.0001904654565408,.0011067676,.17209165,,-.00046340973,.85627723,.95905161,199,44
Rad,unmatched_pe,-.0018215629730385,.0016826893,-1.0825307,,-.0007705235,.1255181,.53584784,199,44
RadOnc,quota,-.2340795705240453,.12316882,-1.9004775,,-.080570109,3.3103709e-06,.018388981,97,37
RadOnc,matched,-.1264488782617263,.11425618,-1.1067137,,-.088586286,.000082775739,.0080003962,97,37
RadOnc,unmatched,-.107630722806789,.057593547,-1.8687984,,.0080161672,2.2161549e-08,.13547699,97,37
RadOnc,matched_per_,-.0029303007472663,.0021636477,-1.3543335,,-.0027694055,.27455032,.57894307,97,37
RadOnc,quota_per_10,-.0038750576828619,.0022377907,-1.7316444,,-.002844722,.11807875,.60684335,97,37
RadOnc,unmatched_pe,-.0009447377015022,.00099780376,-.94681716,,-.000075303738,.0011674814,.72043735,97,37
Surg,quota,-.1669024581933627,.077555977,-2.1520257,,-.38290161,.15326458,.027717361,318,47
Surg,matched,-.1436451653298718,.089238353,-1.6096797,,-.29178923,.50628304,.024335114,318,47
Surg,unmatched,-.023257166293206,.071742781,-.32417431,,-.09111239,.000042143834,.38016683,318,47
Surg,matched_per_,-.0024177072406673,.0018936821,-1.2767229,,-.0027387496,.6762709,.73330665,318,47
Surg,quota_per_10,-.0035765658933862,.0019198044,-1.8629845,,-.0055492576,.6569984,.40798023,318,47
Surg,unmatched_pe,-.0011588651087209,.0014829886,-.78143901,,-.002810519,.27126634,.63681257,318,47
TY,quota,-.272486950547318,.24382895,-1.1175332,,-1.5140795,1.8931775e-06,.091597408,163,39
TY,matched,-.2006639786995947,.24542563,-.81761622,,-1.2319984,.0034178684,.2783027,163,39
TY,unmatched,-.0718230023921933,.079983994,-.89796722,,-.28208101,.021708809,.35322055,163,39
TY,matched_per_,-.0098367254481673,.008815391,-1.1158582,,-.029773975,.00067301589,.10548437,163,39
TY,quota_per_10,-.0106605597884482,.0087907575,-1.212701,,-.02998656,.000067697772,.20379841,163,39
TY,unmatched_pe,-.0008238400785103,.00079550676,-1.0356168,,-.0002126051,.094725803,.47035703,163,39
