outcome,coef,se,tstat,pvalue,avg_treat,pretrend_p,treat_p,n_programs,n_states
quota,-.9440107176615129,.74205959,-1.2721494,,-4.2822065,5.1723455e-11,6.9926111e-19,859,51
matched,-.959785358037152,.75203389,-1.2762527,,-3.8522985,1.4254004e-10,2.8780496e-15,859,51
unmatched,.0157743312988714,.12880662,.12246522,,-.42990786,3.2758962e-08,9.1415597e-11,859,51
matched_per_,-.0067981719347472,.006063682,-1.1211294,,-.027881583,.34499392,.047409661,859,51
quota_per_10,-.0067386448305733,.0062623606,-1.076055,,-.030538475,.29775429,.0076383227,859,51
unmatched_pe,.0000595705332636,.0010995589,.054176755,,-.00265684,.34117767,.085850887,859,51
